Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description
"AIM23","YJL131C","mitochondria","19.3","4.88545","mitochondria","66.2327","mitochondria","18.8151","below threshold","10.8626","#N/A","26.3004","mitochondria","15.73","0.81","0","4.6","mitochondria","19.11","0.98","0","4","mitochondria","26.38","1.36","0","","mitochondria","mitochondria","18.2142","0.943222","0","3.92181","Putative protein of unknown function; the authentic non-tagged protein is detected in highly purified mitochondria; null mutant is viable, displays severe respiratory growth defect and elevated frequency of mitochondrial genome loss"
"AIM24","YJR080C","mitochondria","39.45","9.98036","mitochondria","108.877","missing","18.7831","mitochondria","0","#N/A","32.1554","mitochondria","34.97","0.88","0","12.86","mitochondria","46.18","1.17","0","8.44","mitochondria","70.63","1.79","1","","mitochondria","mitochondria","41.0452","1.0401","0","5.61604","Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss"
"AIM31","YML030W","mitochondria","26.29","5.62055","","","","","","","","","mitochondria","26.51","1","0","8.69","mitochondria","24.52","0.93","0","5.05","mitochondria","35.54","1.35","1","","mitochondria","mitochondria","23.6981","0.901052","0","5.02183","Putative protein of unknown function; GFP-fusion protein localizes to mitochondria; may interact with respiratory chain complexes III or IV; null mutant is viable and displays reduced frequency of mitochondrial genome loss"
"AIM34","YMR003W","mitochondria","24.61","4.74335","nucleus","21.1695","below threshold","16.917","below threshold","57.25","below threshold","22.0647","mitochondria","20.86","0.84","0","8.2","mitochondria","19.04","0.77","-1","3.09","mitochondria","23.33","0.94","0","","mitochondria","mitochondria","22.7901","0.925824","0","2.50863","Protein of unknown function; GFP-fusion protein localizes to the mitochondria; null mutant is viable and displays reduced frequency of mitochondrial genome loss"
"AIM36","YMR157C","mitochondria","22.01","5.29909","mitochondria","112.213","mitochondria","23.5994","mitochondria","55.8215","#N/A","27.4438","mitochondria","22.32","1.01","0","7.05","mitochondria","21.7","0.98","0","3.85","mitochondria","25","1.13","0","","mitochondria","mitochondria","24.0621","1.09308","0","3.55896","Protein of unknown function; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"
"AIM37","YNL100W","mitochondria","46.65","11.1119","","","","","","","","","mitochondria","48.98","1.05","0","15.4","vacuole membrane","35.97","0.77","0","7.64","mitochondria","49.22","1.05","0","","mitochondria","mitochondria","46.1759","0.98974","0","7.09793","Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; null mutant is viable and displays reduced respiratory growth and reduced frequency of mitochondrial genome los"
"AIM38","YNR018W","mitochondria","61.07","17.234","","","","","","","","","mitochondria","58.92","0.96","0","23.84","mitochondria","40.37","0.66","0","9.12","mitochondria","41.33","0.67","0","","mitochondria","mitochondria","69.4629","1.13734","0","13.577","Putative protein of unknown function; non-tagged protein is detected in purified mitochondria; may interact with respiratory chain complex IV; null mutant is viable and displays reduced frequency of mitochondrial genome loss"
"AIM41","YOR215C","mitochondria","64.08","17.8106","mitochondria","156.612","mitochondria","48.6147","punctate,bud neck","336.231","#N/A","65.1471","mitochondria","76.58","1.19","0","34.28","mitochondria","66.21","1.03","0","15.84","mitochondria","144.3","2.25","1","","mitochondria","mitochondria","69.6812","1.08726","0","15.844","Putative protein of unknown function; the authentic protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays reduced frequency of mitochondrial genome loss"
"AIM45","YPR004C","mitochondria","107.59","27.8183","mitochondria","104.339","mitochondria","42.0525","mitochondria","57.25","#N/A","30.7496","mitochondria","102.8","0.95","0","35.33","mitochondria","95.96","1","1","29.8","mitochondria","164.67","1.53","1","","mitochondria","mitochondria","120.122","1.11637","0","14.1239","Protein with similarity to mammalian electron transfer flavoprotein complex subunit ETF-alpha; interacts with frataxin, Yfh1p; null mutant displays elevated frequency of mitochondrial genome loss"
"AIM46","YHR199C","mitochondria","20.67","4.81521","mitochondria","132.041","mitochondria","22.3483","punctate,nucleus","190.339","#N/A","38.6493","mitochondria","21.33","1.03","0","7.37","mitochondria","28.92","1.39","1","5.45","mitochondria","19.81","0.95","0","","mitochondria","mitochondria","24.4528","1.18278","0","3.61488","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
"ALD5","YER073W","mitochondria","171.79","57.4782","mitochondria","46.8673","mitochondria","48.7387","cytosol,punctate","65.7314","#N/A","46.9142","mitochondria","149.87","0.87","0","67.88","mitochondria","169.82","0.98","0","48.32","mitochondria","105.92","0.61","0","","mitochondria","mitochondria","177.178","1.0313","0","32.5945","Mitochondrial aldehyde dehydrogenase, involved in regulation or biosynthesis of electron transport chain components and acetate formation; activated by K+; utilizes NADP+ as the preferred coenzyme; constitutively expressed"
"ALO1","YML086C","mitochondria","98.3","32.8377","mitochondria","169.074","mitochondria","41.1048","mitochondria","214.767","#N/A","0","mitochondria","101.49","1.03","0","48.14","mitochondria","119.44","1.21","0","31.73","mitochondria","127.03","1.29","0","","mitochondria","mitochondria","102.581","1.04348","0","21.9123","D-Arabinono-1,4-lactone oxidase, catalyzes the final step in biosynthesis of dehydro-D-arabinono-1,4-lactone, which is protective against oxidative stress"
"ARG2","YJL071W","mitochondria","22.26","5.19025","cytosol","293.77","cytosol","767.446","cytosol","254.945","#N/A","0","mitochondria","20.35","0.91","0","7.79","mitochondria","24.01","1.07","0","4.18","mitochondria","18.02","0.8","-1","","mitochondria","mitochondria","24.6395","1.10655","0","2.76185","Acetylglutamate synthase (glutamate N-acetyltransferase), mitochondrial enzyme that catalyzes the first step in the biosynthesis of the arginine precursor ornithine; forms a complex with Arg5,6p"
"ARG5","YER069W","mitochondria","140.72","38.3493","","","","","","","","","mitochondria","99.62","0.7","0","40.92","mitochondria","157.44","1.11","0","32.47","mitochondria","98.85","0.7","0","","mitochondria","mitochondria","179.028","1.27218","0","34.3499","Protein that is processed in the mitochondrion to yield acetylglutamate kinase and N-acetyl-gamma-glutamyl-phosphate reductase, which catalyze the 2nd and 3rd steps in arginine biosynthesis; enzymes form a complex with Arg2p"
"ARG7","YMR062C","mitochondria","95.38","27.4335","","","","","","","","","mitochondria","64.52","0.67","0","24","mitochondria","95.96","1","0","29.8","mitochondria","46.15","0.48","-1","","mitochondria","mitochondria","82.183","0.86158","0","25.3485","Mitochondrial ornithine acetyltransferase, catalyzes the fifth step in arginine biosynthesis; also possesses acetylglutamate synthase activity, regenerates acetylglutamate while forming ornithine"
"ARG8","YOL140W","mitochondria","207.65","58.1726","mitochondria","200.174","missing","","missing","","#N/A","51.042","mitochondria","127.16","0.61","0","43.93","mitochondria","171.8","0.82","0","49.01","mitochondria","72.96","0.35","-1","","mitochondria","mitochondria","189.847","0.914232","0","40.6016","Acetylornithine aminotransferase, catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine"
"ARH1","YDR376W","mitochondria","23.72","7.28559","mitochondria","100.492","mitochondria","","missing","4.76963","#N/A","34.6434","mitochondria","25.95","1.09","0","10.85","mitochondria","23.08","0.97","0","4.56","mitochondria","30.04","1.26","0","","mitochondria","mitochondria","21.5847","0.909535","0","3.16729","Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability"
"ATP1","YBL099W","mitochondria","565.36","258.296","mitochondria","238.06","missing","194.201","cytosol,punctate","","#N/A","47.9807","mitochondria","745.27","1.31","0","348.3","mitochondria","469.55","0.83","0","138.16","mitochondria","755.7","1.33","0","","mitochondria","mitochondria","439.479","0.777338","0","114.921","Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated"
"ATP10","YLR393W","mitochondria","22.25","9.88406","mitochondria","55.9845","mitochondria","21.1419","mitochondria","65.1924","#N/A","30.1213","mitochondria","22.05","0.99","0","10.76","mitochondria","19.91","0.89","0","3.55","mitochondria","33.66","1.51","1","","mitochondria","mitochondria","19.8599","0.892117","0","3.89944","Mitochondrial inner membrane protein required for assembly of the F0 sector of mitochondrial F1F0 ATP synthase, interacts genetically with ATP6"
"ATP17","YDR377W","mitochondria","83.96","27.2752","mitochondria","133.612","mitochondria","0","missing","53.0631","#N/A","28.2783","mitochondria","86.33","1.02","0","38.17","mitochondria","56.6","0.67","0","16.18","mitochondria","96.81","1.15","0","","mitochondria","mitochondria","61.648","0.734163","0","11.4363","Subunit f of the F0 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"
"ATP18","YML081C-A","mitochondria","74.88","27.2896","ER","59.8996","ER","25.3388","below threshold","17.8187","below threshold","21.8985","mitochondria","74.09","0.98","0","39.08","mitochondria","54.82","0.73","0","15.08","mitochondria","77.47","1.03","0","","mitochondria","mitochondria","61.0746","0.815584","0","13.5075","Subunit of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; termed subunit I or subunit j; does not correspond to known ATP synthase subunits in other organisms"
"ATP19","YOL077W-A","mitochondria","47.03","16.2705","cytosol,punctate","111.415","cytosol","50.497","nucleus","106.389","#N/A","","mitochondria","34.14","0.72","0","18.71","mitochondria","36.58","0.77","0","8.87","mitochondria","60.3","1.28","0","","mitochondria","mitochondria","36.5822","0.777767","0","8.74599","Subunit k of the mitochondrial F1F0 ATP synthase, which is a large enzyme complex required for ATP synthesis; associated only with the dimeric form of ATP synthase"
"ATP2","YJR121W","mitochondria","549.16","245.633","mitochondria","190.516","missing","","missing","","#N/A","49.6392","mitochondria","651.16","1.18","0","376.03","mitochondria","488.23","0.88","0","149.95","mitochondria","774.51","1.41","0","","mitochondria","mitochondria","446.557","0.813156","0","107.786","Beta subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis; phosphorylated"
"ATP20","YPR020W","mitochondria","31.64","14.7441","below threshold","14.1627","mitochondria","17.7905","below threshold","70.5717","below threshold","20.6293","mitochondria","24.46","0.77","0","14.94","mitochondria","22.05","0.69","-1","5.37","mitochondria","45.77","1.44","1","","mitochondria","mitochondria","23.5523","0.744366","0","6.62732","Subunit g of the mitochondrial F1F0 ATP synthase; reversibly phosphorylated on two residues; unphosphorylated form is required for dimerization of the ATP synthase complex"
"ATP3","YBR039W","mitochondria","246.98","145.112","mitochondria","74.1831","missing","18.751","mitochondria","0","#N/A","","mitochondria","299.5","1.21","0","176.98","mitochondria","161.26","0.65","0","64.84","mitochondria","241.3","0.97","0","","mitochondria","mitochondria","159.535","0.645914","-1","48.1423","Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"
"ATP7","YKL016C","mitochondria","120.82","50.5045","cytosol","111.509","vacuole","20.5728","below threshold","","#N/A","","mitochondria","145.11","1.2","0","74.57","mitochondria","77.35","0.64","-1","25.62","mitochondria","152.9","1.26","0","","mitochondria","mitochondria","71.6456","0.592951","-1","14.0103","Subunit d of the stator stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis"
"BCS1","YDR375C","mitochondria","17.98","5.56253","punctate,nuclear periphery","82.574","missing","19.0228","below threshold","","#N/A","0","mitochondria","19.27","1.07","0","5.64","mitochondria","15.69","0.87","0","2.68","mitochondria","21.13","1.17","0","","mitochondria","mitochondria","16.4644","0.915392","0","2.0817","Protein of the mitochondrial inner membrane that functions as an ATP-dependent chaperone, required for the incorporation of the Rip1p and Qcr10p subunits into the cytochrome bc(1) complex; member of the CDC48/PAS1/SEC18 ATPase family"
"BIO2","YGR286C","mitochondria","66.47","27.1601","mitochondria","100.446","mitochondria","27.3569","cytosol,punctate","110.003","#N/A","40.4666","mitochondria","34.45","0.51","-1","20.66","mitochondria","82.9","1.24","0","24.88","mitochondria","51.21","0.77","0","","mitochondria","mitochondria","69.0841","1.03912","0","32.5277","Biotin synthase, catalyzes the conversion of dethiobiotin to biotin, which is the last step of the biotin biosynthesis pathway; complements E. coli bioB mutant"
"BNA3","YJL060W","cytosol:mitochondria","53.37","17.8667","mitochondria","158.674","mitochondria","51.9484","cytosol","262.232","#N/A","77.8993","cytosol.mitochondria","83.97","1.57","1","40.03","cytosol.mitochondria","82.23","1.54","1","18.25","cytosol,mitochondria","223.97","4.19","1","","cytosol:mitochondria","cytosol:mitochondria","60.2102","1.12801","0","9.79438","Kynurenine aminotransferase, catalyzes formation of kynurenic acid from kynurenine; potential Cdc28p substrate"
"BNA4","YBL098W","mitochondria","21.18","5.53779","mitochondria","215.767","punctate,mitochondria","74.3946","punctate,mitochondria","243.107","mitochondria","70.8615","mitochondria","26.22","1.23","0","13.64","mitochondria","22.5","1.06","0","3.73","mitochondria","15.6","0.73","-1","","mitochondria","mitochondria","22.386","1.0563","0","5.08045","Kynurenine 3-mono oxygenase, required for the de novo biosynthesis of NAD from tryptophan via kynurenine; expression regulated by Hst1p; putative therapeutic target for Huntington disease"
"CAF4","YKR036C","mitochondria","25.06","5.38986","mitochondria","54.9462","mitochondria","31.7405","mitochondria","37.0868","punctate,mitochondria","29.2589","mitochondria","22.8","0.9","0","7.33","mitochondria","28.38","1.13","0","4.62","mitochondria","20.97","0.83","0","","mitochondria","mitochondria","25.9566","1.03563","0","3.08122","WD40 repeat-containing protein associated with the CCR4-NOT complex, interacts in a Ccr4p-dependent manner with Ssn2p; also interacts with Fis1p, Mdv1p and Dnm1p and plays a role in mitochondrial fission"
"CBP1","YJL209W","mitochondria","24.04","5.30345","mitochondria","23.8857","mitochondria","17.6541","below threshold","9.34903","#N/A","25.6598","mitochondria","24.26","1","0","6.62","mitochondria","26.7","1.11","0","4.19","mitochondria","19.37","0.8","0","","mitochondria","mitochondria","23.4268","0.973955","0","3.59352","Mitochondrial protein that interacts with the 5'-untranslated region of the COB mRNA and has a role in its stability and translation; found in a complex at the inner membrane along with Pet309p"
"CBP3","YPL215W","mitochondria","55.1","14.9489","mitochondria","70.8426","mitochondria","18.2861","below threshold","39.7507","#N/A","32.0968","mitochondria","61.01","1.1","0","25.52","vacuole membrane","61.45","1.11","0","13.41","mitochondria","63.51","1.15","0","","mitochondria","mitochondria","53.801","0.976284","0","7.96868","Mitochondrial protein required for assembly of ubiquinol cytochrome-c reductase complex (cytochrome bc1 complex); interacts with Cbp4p and function is partially redundant with that of Cbp4p"
"CBP4","YGR174C","mitochondria","19.64","6.03592","mitochondria","88.2001","mitochondria","22.6156","mitochondria","151.482","#N/A","50.2944","mitochondria","18.25","0.92","0","7.26","mitochondria","15.73","0.8","0","2.5","mitochondria","31.65","1.61","0","","mitochondria","mitochondria","16.5676","0.843127","0","3.66493","Mitochondrial protein required for assembly of ubiquinol cytochrome-c reductase complex (cytochrome bc1 complex); interacts with Cbp3p and function is partially redundant with that of Cbp3p"
"CBP6","YBR120C","mitochondria","61","14.6392","below threshold","15.6798","vacuole","18.9726","below threshold","0","#N/A","","mitochondria","53.36","0.87","0","22.8","mitochondria","56.8","0.93","0","10.21","mitochondria","79.61","1.3","0","","mitochondria","mitochondria","53.7133","0.880377","0","8.33885","Mitochondrial translational activator of the COB mRNA; phosphorylated"
"CBS2","YDR197W","mitochondria","20.6","4.82737","below threshold","19.9791","below threshold","21.1707","below threshold","5.79846","#N/A","","mitochondria","19.84","0.96","0","5.16","nucleus","","","0","","nucleus","","","","","mitochondria","mitochondria","23.997","1.1643","0","3.8621","Mitochondrial translational activator of the COB mRNA; interacts with translating ribosomes, acts on the COB mRNA 5'-untranslated leader"
"CCE1","YKL011C","mitochondria","16.22","4.53531","cytosol","29.0107","cytosol","22.0897","below threshold","15.9264","below threshold","24.6219","mitochondria","18.89","1.16","0","5.91","mitochondria","21.75","1.34","0","4.01","mitochondria","30.05","1.85","0","","mitochondria","mitochondria","16.7077","1.02965","0","3.06018","Mitochondrial cruciform cutting endonuclease, cleaves Holliday junctions formed during recombination of mitochondrial DNA"
"CDC9","YDL164C","nucleus:mitochondria","39.13","10.0886","mitochondria","104.985","mitochondria","42.9125","nucleus,mitochondria","121.356","#N/A","54.7245","nucleus.mitochondria","38.5","0.98","0","17.78","nucleus.mitochondria","38.61","0.98","0","6.49","nucleus,mitochondria","","","","","nucleus:mitochondria","nucleus:mitochondria","38.613","0.986579","0","6.93197","DNA ligase found in the nucleus and mitochondria, an essential enzyme that joins Okazaki fragments during DNA replication; also acts in nucleotide excision repair, base excision repair, and recombination"
"CEM1","YER061C","mitochondria","28.38","7.29405","ER","34.4314","missing","17.6947","below threshold","0","#N/A","18.6017","mitochondria","29.16","1.02","0","10.98","mitochondria","24.92","0.87","0","5.59","mitochondria","33.32","1.17","0","","mitochondria","mitochondria","31.05","1.09355","0","5.79121","Mitochondrial beta-keto-acyl synthase with possible role in fatty acid synthesis; required for mitochondrial respiration"
"CHA1","YCL064C","mitochondria","119.73","45.6408","cytosol","23.687","punctate","","missing","","#N/A","","mitochondria","29.67","0.24","-1","17.88","mitochondria","125.61","1.04","0","27.29","mitochondria","71.92","0.6","-1","","mitochondria","mitochondria","143.236","1.1963","0","44.001","Catabolic L-serine (L-threonine) deaminase, catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine"
"CIR1","YGR207C","mitochondria","79.86","25.8576","","","","","","","","","mitochondria","87.17","1.09","0","36.2","mitochondria","94.11","1.17","0","18.58","mitochondria","124.49","1.55","1","","mitochondria","mitochondria","79.417","0.994427","0","9.31669","Protein that interacts with frataxin (Yfh1p); putative homolog of mammalian electron transfer flavoprotein complex subunit ETF-beta; authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
"COQ1","YBR003W","mitochondria","31.61","10.8356","mitochondria","81.3758","mitochondria","30.7409","cytosol,punctate","82.6547","#N/A","37.548","mitochondria","30.05","0.95","0","13.65","mitochondria","31.35","0.99","0","5.92","mitochondria","35.27","1.11","0","","mitochondria","mitochondria","26.7884","0.847347","0","4.47817","Hexaprenyl pyrophosphate synthetase, catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis"
